Fwd_rate	Rev_rate	Net_Rate	PEI	Reaction_String
4.27647E-07	8.3095E-06	-7.88E-06	4.89E-02	R30 + R2 <=> R187
4.27647E-07	0.003785167	-3.78E-03	1.13E-04	R31 + R2 <=> R188
4.27647E-07	6.51036E-05	-6.47E-05	6.53E-03	R2 + R41 <=> R189
4.27647E-07	0.000142204	-1.42E-04	3.00E-03	R2 + R41 <=> R190
4.27647E-07	0.109553491	-1.10E-01	3.90E-06	R41 + R2 <=> R191
4.27647E-07	2.62565877	-2.63E+00	1.63E-07	R42 + R2 <=> R192
4.27647E-07	1.87616E-05	-1.83E-05	2.23E-02	R2 + R43 <=> R193
4.27647E-07	2.11653E-05	-2.07E-05	1.98E-02	R2 + R43 <=> R194
4.27647E-07	0.42181483	-4.22E-01	1.01E-06	R43 + R2 <=> R195
4.27647E-07	13039.31119	-1.30E+04	3.28E-11	R44 + R2 <=> R196
4.27647E-07	0.000102762	-1.02E-04	4.14E-03	R45 + R2 <=> R197
4.27647E-07	4.7451E-07	-4.69E-08	4.74E-01	R2 + R53 <=> R198
4.27647E-07	0.001829603	-1.83E-03	2.34E-04	R2 + R53 <=> R199
4.27647E-07	0.653068624	-6.53E-01	6.55E-07	R53 + R2 <=> R200
4.27647E-07	0.01230395	-1.23E-02	3.48E-05	R54 + R2 <=> R201
4.27647E-07	0.00782373	-7.82E-03	5.47E-05	R2 + R60 <=> R202
4.27647E-07	0.00669071	-6.69E-03	6.39E-05	R2 + R60 <=> R203
4.27647E-07	2.929527102	-2.93E+00	1.46E-07	R60 + R2 <=> R204
4.27647E-07	1.13011E-06	-7.02E-07	2.75E-01	R2 + R86 <=> R205
4.27647E-07	0.00021358	-2.13E-04	2.00E-03	R2 + R86 <=> R206
4.27647E-07	14.46104776	-1.45E+01	2.96E-08	R86 + R2 <=> R207
4.27647E-07	0.000866636	-8.66E-04	4.93E-04	R2 + R87 <=> R208
4.27647E-07	0.170083359	-1.70E-01	2.51E-06	R2 + R87 <=> R209
4.27647E-07	1092441.515	-1.09E+06	3.91E-13	R87 + R2 <=> R210
4.27647E-07	395893.3494	-3.96E+05	1.08E-12	R88 + R2 <=> R211
4.27647E-07	2.20602E-05	-2.16E-05	1.90E-02	R2 + R89 <=> R212
4.27647E-07	21.0697429	-2.11E+01	2.03E-08	R2 + R89 <=> R213
4.27647E-07	460.1567056	-4.60E+02	9.29E-10	R89 + R2 <=> R214
4.27647E-07	1.93401E-05	-1.89E-05	2.16E-02	R3 + R15 <=> R98
4.27647E-07	24.29997634	-2.43E+01	1.76E-08	R15 + R3 <=> R215
4.27647E-07	1439.061449	-1.44E+03	2.97E-10	R16 + R3 <=> R216
4.27647E-07	0.000511486	-5.11E-04	8.35E-04	R3 + R17 <=> R59
4.27647E-07	1.31198E-07	2.96E-07	7.65E-01	R17 + R3 <=> R217
4.27647E-07	1.16496E-06	-7.37E-07	2.69E-01	R3 + R26 <=> R140
4.27647E-07	0.000304669	-3.04E-04	1.40E-03	R3 + R26 <=> R141
4.27647E-07	1.419933543	-1.42E+00	3.01E-07	R26 + R3 <=> R218
4.27647E-07	7.93582E-06	-7.51E-06	5.11E-02	R3 + R27 <=> R77
4.27647E-07	5.58886E-06	-5.16E-06	7.11E-02	R27 + R3 <=> R219
4.27647E-07	8.82982E-06	-8.40E-06	4.62E-02	R3 + R28 <=> R220
4.27647E-07	9.63787E-07	-5.36E-07	3.07E-01	R3 + R28 <=> R145
4.27647E-07	602.5660035	-6.03E+02	7.10E-10	R28 + R3 <=> R221
4.27647E-07	1467870.988	-1.47E+06	2.91E-13	R29 + R3 <=> R222
4.27647E-07	0.002982458	-2.98E-03	1.43E-04	R3 + R30 <=> R80
4.27647E-07	2.05323E-05	-2.01E-05	2.04E-02	R30 + R3 <=> R223
4.27647E-07	2.69437E-07	1.58E-07	6.13E-01	R3 + R41 <=> R198
4.27647E-07	0.001038889	-1.04E-03	4.11E-04	R3 + R41 <=> R199
4.27647E-07	55.16948009	-5.52E+01	7.75E-09	R41 + R3 <=> R224
4.27647E-07	0.000459276	-4.59E-04	9.30E-04	R42 + R3 <=> R225
4.27647E-07	1.8167E-05	-1.77E-05	2.30E-02	R3 + R86 <=> R226
4.27647E-07	0.00036928	-3.69E-04	1.16E-03	R3 + R86 <=> R227
4.27647E-07	288.0585041	-2.88E+02	1.48E-09	R86 + R3 <=> R228
4.27647E-07	0.000745921	-7.45E-04	5.73E-04	R4 + R15 <=> R100
4.27647E-07	0.000310614	-3.10E-04	1.37E-03	R4 + R17 <=> R229
4.27647E-07	6.43886E-05	-6.40E-05	6.60E-03	R4 + R26 <=> R149
4.27647E-07	0.004742428	-4.74E-03	9.02E-05	R4 + R26 <=> R150
4.27647E-07	0.000928561	-9.28E-04	4.60E-04	R4 + R27 <=> R230
4.27647E-07	9.86985E-06	-9.44E-06	4.15E-02	R4 + R28 <=> R231
4.27647E-07	0.000691069	-6.91E-04	6.18E-04	R4 + R28 <=> R153
4.27647E-07	0.144651271	-1.45E-01	2.96E-06	R4 + R30 <=> R232
4.27647E-07	6.43886E-05	-6.40E-05	6.60E-03	R4 + R41 <=> R202
4.27647E-07	5.5064E-05	-5.46E-05	7.71E-03	R4 + R41 <=> R203
4.27647E-07	1.49905E-06	-1.07E-06	2.22E-01	R4 + R86 <=> R233
4.27647E-07	0.000771046	-7.71E-04	5.54E-04	R4 + R86 <=> R234
4.27647E-07	7.88487E-06	-7.46E-06	5.14E-02	R5 + R15 <=> R102
4.27647E-07	0.000947553	-9.47E-04	4.51E-04	R5 + R26 <=> R156
4.27647E-07	0.000280452	-2.80E-04	1.52E-03	R5 + R26 <=> R157
4.27647E-07	10.6051378	-1.06E+01	4.03E-08	R5 + R27 <=> R235
